Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population_Staying_at_Home,Population_Not_Staying_at_Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
County,2020/10/15,17,IL,17019,Champaign County,54741,154948,636641,147439,169437,83319,88685,101230,24074,13863,7114,1080,400,17-17019-20201015
County,2020/10/16,17,IL,17019,Champaign County,53942,155747,705314,167145,187501,89452,97994,107137,29295,17833,7577,939,441,17-17019-20201016
County,2020/10/17,17,IL,17019,Champaign County,57791,151898,684705,175330,178219,81017,98173,93817,29927,19738,7226,946,312,17-17019-20201017
County,2020/10/18,17,IL,17019,Champaign County,59476,150213,569317,134949,149996,67811,85267,82290,24863,14501,8307,1025,308,17-17019-20201018
County,2020/10/19,17,IL,17019,Champaign County,55904,153785,666203,159338,184592,83825,85534,103546,24750,16424,6906,942,346,17-17019-20201019
County,2020/10/20,17,IL,17019,Champaign County,56768,152921,674419,162312,181937,82588,91361,104397,26418,17744,6570,782,310,17-17019-20201020
County,2020/10/21,17,IL,17019,Champaign County,57831,151858,641157,150315,174049,78061,89642,100579,25544,15862,5950,772,383,17-17019-20201021
County,2020/10/22,17,IL,17019,Champaign County,54849,154840,717613,183666,195955,87569,98195,101297,25683,17552,6561,778,357,17-17019-20201022
County,2020/10/23,17,IL,17019,Champaign County,52318,157371,730709,174456,196484,90779,97694,113759,30079,18331,7920,873,334,17-17019-20201023
County,2020/10/24,17,IL,17019,Champaign County,56166,153523,715530,172258,199716,92879,99809,97033,27447,19106,6334,665,283,17-17019-20201024
County,2020/10/25,17,IL,17019,Champaign County,60567,149122,591425,144365,169362,67466,82729,82078,20890,16193,7268,576,498,17-17019-20201025
County,2020/10/26,17,IL,17019,Champaign County,55985,153704,644889,147883,176267,80906,95325,99261,24446,13439,6241,781,340,17-17019-20201026
County,2020/10/27,17,IL,17019,Champaign County,56698,152991,648947,153227,181129,82803,92351,95111,24512,12834,5988,711,281,17-17019-20201027
County,2020/10/28,17,IL,17019,Champaign County,55619,154070,708827,181016,195958,85613,97120,101525,25143,16084,5376,694,298,17-17019-20201028
County,2020/10/29,17,IL,17019,Champaign County,54964,154725,718351,175267,209764,89535,97277,100394,25216,13648,6033,814,403,17-17019-20201029
County,2020/10/30,17,IL,17019,Champaign County,52169,157520,774341,192065,219689,99471,107401,103738,26852,16048,8208,532,337,17-17019-20201030
County,2020/10/31,17,IL,17019,Champaign County,55975,153714,751622,201178,206625,85666,101983,101219,29628,17484,6920,649,270,17-17019-20201031
County,2020/11/01,17,IL,17019,Champaign County,60023,149666,616302,144329,174000,77849,84420,89177,17506,18523,9604,418,476,17-17019-20201101
County,2020/11/02,17,IL,17019,Champaign County,57850,151839,691400,153000,223729,87438,98294,84817,25044,11929,6484,457,208,17-17019-20201102
County,2020/11/03,17,IL,17019,Champaign County,58888,150801,720386,193357,205557,87842,86627,103492,23212,14011,5608,444,236,17-17019-20201103
County,2020/11/04,17,IL,17019,Champaign County,59343,150346,674378,168501,189135,93162,86871,93268,23879,12562,6294,482,224,17-17019-20201104
County,2020/11/05,17,IL,17019,Champaign County,59539,150150,692824,168618,204302,85350,94128,94264,21534,15758,8010,564,296,17-17019-20201105
County,2020/11/06,17,IL,17019,Champaign County,55945,153744,742172,170835,233655,97587,94734,97356,21456,15002,10879,420,248,17-17019-20201106
County,2020/11/07,17,IL,17019,Champaign County,59910,149779,602875,141773,184973,85462,71955,64760,21413,18457,12810,501,771,17-17019-20201107
County,2020/11/08,17,IL,17019,Champaign County,65921,143768,572386,122466,192676,74145,75893,71247,16890,10932,7190,573,374,17-17019-20201108
County,2020/11/09,17,IL,17019,Champaign County,61338,148351,800240,210665,230530,106075,102669,99530,25221,16894,7692,648,316,17-17019-20201109
County,2020/11/10,17,IL,17019,Champaign County,60651,149038,764941,197889,224189,95007,94865,99765,27413,17337,7474,668,334,17-17019-20201110
County,2020/11/11,17,IL,17019,Champaign County,60819,148870,745931,193255,207289,93922,97579,105721,23835,15682,7656,651,341,17-17019-20201111
County,2020/11/12,17,IL,17019,Champaign County,60777,148912,761299,196796,221020,94297,97116,103304,23868,15351,8778,464,305,17-17019-20201112
County,2020/11/13,17,IL,17019,Champaign County,60725,148964,792644,211922,218240,101827,106273,103849,26660,15041,7858,650,324,17-17019-20201113
County,2020/11/14,17,IL,17019,Champaign County,64636,145053,711145,181410,188534,90910,103012,99566,24383,14701,7570,713,346,17-17019-20201114
County,2020/11/15,17,IL,17019,Champaign County,65735,143954,600866,142156,176588,77413,79158,78380,23718,13950,8199,776,528,17-17019-20201115
County,2020/11/16,17,IL,17019,Champaign County,66148,143541,738816,186049,218255,98180,99129,92953,22895,13013,7342,604,396,17-17019-20201116
County,2020/11/17,17,IL,17019,Champaign County,65476,144213,741247,184873,227160,96390,97380,91001,24318,12316,6604,752,453,17-17019-20201117
County,2020/11/18,17,IL,17019,Champaign County,64300,145389,807838,212898,245378,102856,105427,99112,22083,11144,7898,631,411,17-17019-20201118
County,2020/11/19,17,IL,17019,Champaign County,62266,147423,792261,210691,237904,95237,105206,96448,25731,12231,7741,631,441,17-17019-20201119
County,2020/11/20,17,IL,17019,Champaign County,61934,147755,711191,185462,202628,90984,88416,92185,25521,15743,8836,855,561,17-17019-20201120
County,2020/11/21,17,IL,17019,Champaign County,64145,145544,662732,157106,182735,85658,88855,92630,27537,17635,9086,897,593,17-17019-20201121
County,2020/11/22,17,IL,17019,Champaign County,66036,143653,574329,130572,171512,76619,76297,78955,18934,12435,7674,789,542,17-17019-20201122
County,2020/11/23,17,IL,17019,Champaign County,61693,147996,670996,157096,194626,86616,93319,89681,23673,17021,7639,840,485,17-17019-20201123
County,2020/11/24,17,IL,17019,Champaign County,61471,148218,718852,169938,207827,96196,97374,98320,25932,14618,7382,833,432,17-17019-20201124
County,2020/11/25,17,IL,17019,Champaign County,59468,150221,729632,164809,217476,90871,108916,100090,22656,16266,7427,787,334,17-17019-20201125
County,2020/11/26,17,IL,17019,Champaign County,67001,142688,520778,119666,146413,62996,66082,71212,23242,20994,9156,583,434,17-17019-20201126
County,2020/11/27,17,IL,17019,Champaign County,61946,147743,710024,180466,198052,89462,95756,98369,24443,14524,7861,623,468,17-17019-20201127
County,2020/11/28,17,IL,17019,Champaign County,63293,146396,645026,157463,178713,81391,88794,92094,22669,15603,7022,718,559,17-17019-20201128
County,2020/11/29,17,IL,17019,Champaign County,65571,144118,635982,158977,172257,79830,93313,87722,19120,15127,8178,973,485,17-17019-20201129
County,2020/11/30,17,IL,17019,Champaign County,62127,147562,696676,160412,203944,86596,89005,105132,25299,17683,7084,1062,459,17-17019-20201130
County,2020/12/01,17,IL,17019,Champaign County,58493,151196,739391,180189,206428,88157,101888,106772,27713,19406,7427,950,461,17-17019-20201201
County,2020/12/02,17,IL,17019,Champaign County,57838,151851,753494,179532,210279,88010,103366,117740,27688,17277,8214,865,523,17-17019-20201202
County,2020/12/03,17,IL,17019,Champaign County,57460,152229,756938,183228,215889,95231,99177,103738,31243,19784,7201,985,462,17-17019-20201203
County,2020/12/04,17,IL,17019,Champaign County,55455,154234,806759,201126,221671,99854,107323,120995,29187,18213,7039,851,500,17-17019-20201204
County,2020/12/05,17,IL,17019,Champaign County,59947,149742,760123,180069,224496,89102,103627,106901,28795,18382,7406,718,627,17-17019-20201205
County,2020/12/06,17,IL,17019,Champaign County,64598,145091,618652,152086,165920,74824,92286,87118,20727,16998,7557,613,523,17-17019-20201206
County,2020/12/07,17,IL,17019,Champaign County,63147,146542,675902,160456,203351,84129,83079,91611,28309,16452,7363,629,523,17-17019-20201207
County,2020/12/08,17,IL,17019,Champaign County,59502,150187,702584,168520,198718,85647,92933,102941,25516,19725,7179,847,558,17-17019-20201208
County,2020/12/09,17,IL,17019,Champaign County,59653,150036,682018,173534,186663,81612,88155,97321,28168,18427,6891,666,581,17-17019-20201209
County,2020/12/10,17,IL,17019,Champaign County,60449,149240,721609,186187,189682,91866,96821,102201,30709,15656,7082,811,594,17-17019-20201210
County,2020/12/11,17,IL,17019,Champaign County,60635,149054,738711,182597,199501,100531,96486,102953,28583,19540,7015,891,614,17-17019-20201211
County,2020/12/12,17,IL,17019,Champaign County,63643,146046,682671,166458,200163,86023,92152,88291,21775,18523,7580,1105,601,17-17019-20201212
County,2020/12/13,17,IL,17019,Champaign County,66908,142781,579452,135083,170809,70720,76080,78951,21790,17261,7468,840,450,17-17019-20201213
County,2020/12/14,17,IL,17019,Champaign County,62631,147058,656408,144203,189016,89089,89862,92080,26264,17683,6933,859,419,17-17019-20201214
County,2020/12/15,17,IL,17019,Champaign County,60956,148733,679356,163265,192038,89371,87549,91710,27981,19604,6722,615,501,17-17019-20201215
County,2020/12/16,17,IL,17019,Champaign County,61350,148339,672202,161274,188307,82339,92376,93864,28869,16541,7041,1086,505,17-17019-20201216
County,2020/12/17,17,IL,17019,Champaign County,60245,149444,701207,169596,186693,91939,99857,100928,27564,16550,6650,811,619,17-17019-20201217
County,2020/12/18,17,IL,17019,Champaign County,61415,148274,737328,183785,208782,92354,89931,102754,31840,18146,7909,1155,672,17-17019-20201218
County,2020/12/19,17,IL,17019,Champaign County,64171,145518,703038,158444,197095,89943,99383,102284,26380,19586,8650,635,638,17-17019-20201219
County,2020/12/20,17,IL,17019,Champaign County,66335,143354,535203,126931,154959,68263,67696,71893,20383,16115,7494,976,493,17-17019-20201220
County,2020/12/21,17,IL,17019,Champaign County,62995,146694,681797,149131,211768,86279,88722,89859,28049,18811,7918,998,262,17-17019-20201221
County,2020/12/22,17,IL,17019,Champaign County,64929,144760,717747,152248,207467,92322,98819,105741,29639,19597,9743,1538,633,17-17019-20201222
County,2020/12/23,17,IL,17019,Champaign County,65013,144676,740408,163233,201967,91405,111485,108734,30293,21629,10116,1049,497,17-17019-20201223
County,2020/12/24,17,IL,17019,Champaign County,66182,143507,640678,143861,180221,75140,92685,93536,26439,19235,7998,907,656,17-17019-20201224
County,2020/12/25,17,IL,17019,Champaign County,71607,138082,355832,68333,95166,39467,52517,56746,19750,15847,6771,659,576,17-17019-20201225
County,2020/12/26,17,IL,17019,Champaign County,66603,143086,622863,136998,176393,84267,89371,84657,21684,20765,7271,766,691,17-17019-20201226
County,2020/12/27,17,IL,17019,Champaign County,66882,142807,583631,141899,153140,64715,82168,91900,23537,12979,11173,1432,688,17-17019-20201227
County,2020/12/28,17,IL,17019,Champaign County,61433,148256,669764,160341,178345,79062,97937,108886,23059,13035,7290,1327,482,17-17019-20201228
County,2020/12/29,17,IL,17019,Champaign County,60141,149548,685587,164315,179861,83589,97501,110640,25795,14729,7400,1200,557,17-17019-20201229
County,2020/12/30,17,IL,17019,Champaign County,59329,150360,684244,155936,183443,88268,96789,112606,23806,14169,7156,1479,592,17-17019-20201230
County,2020/12/31,17,IL,17019,Champaign County,57434,152255,724091,174409,200177,87308,104786,111216,23028,12666,8916,1071,514,17-17019-20201231
County,2021/01/01,17,IL,17019,Champaign County,74460,135229,512837,126793,149797,62945,72649,67910,15494,8678,7363,862,346,17-17019-20210101
County,2021/01/02,17,IL,17019,Champaign County,63405,146284,658215,165813,170657,81075,93017,99039,22837,14154,9490,1619,514,17-17019-20210102
County,2021/01/03,17,IL,17019,Champaign County,68810,140879,584372,146577,158610,69019,81046,86143,18910,12361,9510,1574,622,17-17019-20210103
County,2021/01/04,17,IL,17019,Champaign County,58456,151233,692613,163882,193671,86966,104332,103647,22599,10482,5813,831,390,17-17019-20210104
County,2021/01/05,17,IL,17019,Champaign County,58281,151408,670009,154715,184689,85105,99376,104581,22503,11519,5870,1198,453,17-17019-20210105
County,2021/01/06,17,IL,17019,Champaign County,55038,154651,704805,168147,195393,96335,97055,107908,22217,9651,6814,891,394,17-17019-20210106
County,2021/01/07,17,IL,17019,Champaign County,54639,155050,710511,175474,200077,92325,95804,104688,22956,10143,7412,1091,541,17-17019-20210107
County,2021/01/08,17,IL,17019,Champaign County,53720,155969,753199,187338,206696,94607,106833,113320,23805,11306,7741,987,566,17-17019-20210108
County,2021/01/09,17,IL,17019,Champaign County,57317,152372,715110,182334,186745,89803,105666,102159,24065,12994,9585,1208,551,17-17019-20210109
County,2021/01/10,17,IL,17019,Champaign County,60774,148915,624394,162321,171587,79112,86933,87527,19175,10130,6315,739,555,17-17019-20210110
County,2021/01/11,17,IL,17019,Champaign County,57845,151844,675311,159542,184847,90758,101259,102106,21265,9849,4643,538,504,17-17019-20210111
County,2021/01/12,17,IL,17019,Champaign County,56469,153220,691773,162427,192847,91697,103768,103580,22821,8969,4621,597,446,17-17019-20210112
County,2021/01/13,17,IL,17019,Champaign County,54939,154750,711165,167526,198546,96695,102631,104952,24529,9775,5314,658,539,17-17019-20210113
County,2021/01/14,17,IL,17019,Champaign County,55085,154604,708557,169334,195002,93110,102491,108245,24003,10780,4469,516,607,17-17019-20210114
County,2021/01/15,17,IL,17019,Champaign County,54099,155590,792827,188792,218075,98474,116160,124935,26922,13086,5072,777,534,17-17019-20210115
County,2021/01/16,17,IL,17019,Champaign County,60026,149663,766140,196689,196111,92745,114606,117570,26682,14014,6400,822,501,17-17019-20210116
County,2021/01/17,17,IL,17019,Champaign County,59739,149950,675594,172345,170817,86538,99177,101206,20841,15065,7917,919,769,17-17019-20210117
County,2021/01/18,17,IL,17019,Champaign County,51702,157987,792575,192630,200962,103802,119396,131402,23792,12722,6141,1188,540,17-17019-20210118
County,2021/01/19,17,IL,17019,Champaign County,59356,150333,701417,174610,185022,90003,104222,112065,20109,10529,3751,648,458,17-17019-20210119
County,2021/01/20,17,IL,17019,Champaign County,57845,151844,735489,181104,190258,94808,110777,122356,21063,10312,3763,552,496,17-17019-20210120
County,2021/01/21,17,IL,17019,Champaign County,52453,157236,813389,212672,213535,100409,121656,124445,23450,11716,4255,670,581,17-17019-20210121
County,2021/01/22,17,IL,17019,Champaign County,51844,157845,810742,199764,204805,99753,124969,136453,23410,13396,6456,1107,629,17-17019-20210122
County,2021/01/23,17,IL,17019,Champaign County,54942,154747,749910,187580,184250,89759,115818,122289,25013,16978,6889,779,555,17-17019-20210123
County,2021/01/24,17,IL,17019,Champaign County,61664,148025,682689,189419,168297,80140,103502,102228,18081,12020,7327,780,895,17-17019-20210124
County,2021/01/25,17,IL,17019,Champaign County,58101,151588,676032,177170,182618,82046,102876,100302,17794,8298,3600,611,717,17-17019-20210125
County,2021/01/26,17,IL,17019,Champaign County,56687,153002,723961,180602,190318,95129,110591,113946,19522,9628,3218,460,547,17-17019-20210126
County,2021/01/27,17,IL,17019,Champaign County,55436,154253,731010,183096,190643,93822,111558,115648,20599,10450,4118,545,531,17-17019-20210127
County,2021/01/28,17,IL,17019,Champaign County,55101,154588,739760,188516,193491,94222,111344,117478,19341,10198,4157,580,433,17-17019-20210128
County,2021/01/29,17,IL,17019,Champaign County,53576,156113,789128,202727,203534,101435,112455,125338,24402,11625,6145,783,684,17-17019-20210129
County,2021/01/30,17,IL,17019,Champaign County,57879,151810,709359,180409,180346,88265,116800,107779,18212,10782,5161,1033,572,17-17019-20210130
County,2021/01/31,17,IL,17019,Champaign County,64855,144834,644410,177831,174383,77342,94525,90899,14801,7688,5024,1134,783,17-17019-20210131
County,2021/02/01,17,IL,17019,Champaign County,58206,151483,771570,202841,201617,96089,111789,120343,20868,11745,4793,689,796,17-17019-20210201
County,2021/02/02,17,IL,17019,Champaign County,56239,153450,788783,206448,208146,97767,113165,120882,24977,12229,3899,589,681,17-17019-20210202
County,2021/02/03,17,IL,17019,Champaign County,54423,155266,764264,195800,207591,95293,112280,114029,22307,11714,3777,833,640,17-17019-20210203
County,2021/02/04,17,IL,17019,Champaign County,55271,154418,736229,192221,196409,93917,106585,110488,20977,10783,3381,805,663,17-17019-20210204
County,2021/02/05,17,IL,17019,Champaign County,51896,157793,828664,224461,218137,102473,117503,125484,22795,11654,4875,737,545,17-17019-20210205
County,2021/02/06,17,IL,17019,Champaign County,55811,153878,754874,208030,196379,90890,113164,109347,18995,11828,4811,646,784,17-17019-20210206
County,2021/02/07,17,IL,17019,Champaign County,62283,147406,713603,202704,188577,83036,104446,96992,18608,10209,6672,1106,1253,17-17019-20210207
County,2021/02/08,17,IL,17019,Champaign County,57426,152263,800456,214925,203721,101181,116903,119601,23036,13236,6303,692,858,17-17019-20210208
County,2021/02/09,17,IL,17019,Champaign County,57118,152571,781347,196394,206537,98010,116324,123782,23306,11486,3970,637,901,17-17019-20210209
County,2021/02/10,17,IL,17019,Champaign County,56795,152894,786204,204250,212982,100998,111082,117018,22906,10651,4509,727,1081,17-17019-20210210
County,2021/02/11,17,IL,17019,Champaign County,53911,155778,838723,216865,221944,105474,124489,131062,21921,10893,4186,997,892,17-17019-20210211
County,2021/02/12,17,IL,17019,Champaign County,51211,158478,821656,216086,218010,102434,114014,126540,22840,12616,7205,1030,881,17-17019-20210212
County,2021/02/13,17,IL,17019,Champaign County,59261,150428,768723,207287,194855,95407,115506,114457,23619,11694,4638,652,608,17-17019-20210213
County,2021/02/14,17,IL,17019,Champaign County,60480,149209,739172,207041,187420,88988,110494,105019,18792,11782,7778,937,921,17-17019-20210214
County,2021/02/15,17,IL,17019,Champaign County,61181,148508,751848,211121,210261,94552,98570,106609,16196,8538,4385,613,1003,17-17019-20210215
County,2021/02/16,17,IL,17019,Champaign County,62007,147682,740311,205664,206848,94754,104069,99585,16115,7700,3990,821,765,17-17019-20210216
County,2021/02/17,17,IL,17019,Champaign County,53372,156317,843026,223124,226304,101673,119360,131045,24496,10942,4623,614,845,17-17019-20210217
County,2021/02/18,17,IL,17019,Champaign County,50074,159615,889690,231481,233333,110798,128763,142662,24584,12121,4645,658,645,17-17019-20210218
County,2021/02/19,17,IL,17019,Champaign County,50454,159235,891297,235325,230785,110319,132440,135784,24456,13235,7208,1011,734,17-17019-20210219
County,2021/02/20,17,IL,17019,Champaign County,56566,153123,818885,226455,208774,98420,122088,119402,24072,12029,5927,719,999,17-17019-20210220
County,2021/02/21,17,IL,17019,Champaign County,57648,152041,760482,204862,191988,88879,116944,112075,22481,13387,7675,983,1208,17-17019-20210221
County,2021/02/22,17,IL,17019,Champaign County,52589,157100,857880,226055,222905,108686,122527,133740,26237,11916,4202,708,904,17-17019-20210222
County,2021/02/23,17,IL,17019,Champaign County,52390,157299,900900,244347,232203,111457,130040,137003,27808,12680,3890,738,734,17-17019-20210223
County,2021/02/24,17,IL,17019,Champaign County,52012,157677,878096,239360,224874,111033,128767,133658,23026,12152,4054,625,547,17-17019-20210224
County,2021/02/25,17,IL,17019,Champaign County,52011,157678,896407,245264,230560,107835,132309,136901,25094,12944,4021,770,709,17-17019-20210225
County,2021/02/26,17,IL,17019,Champaign County,49468,160221,917440,246512,235292,112852,133324,138005,27581,15685,6340,1119,730,17-17019-20210226
County,2021/02/27,17,IL,17019,Champaign County,51352,158337,891923,253768,220380,106421,130355,128940,29262,15408,5785,1023,581,17-17019-20210227
County,2021/02/28,17,IL,17019,Champaign County,56252,153437,801260,232607,200839,91337,114747,117224,21406,13593,7823,961,723,17-17019-20210228
County,2021/03/01,17,IL,17019,Champaign County,52079,157610,900751,250941,229000,109221,125119,140154,24701,14293,5778,845,699,17-17019-20210301
County,2021/03/02,17,IL,17019,Champaign County,50684,159005,913644,251048,244828,113089,126898,134170,26771,11758,3833,659,590,17-17019-20210302
County,2021/03/03,17,IL,17019,Champaign County,51160,158529,939959,264769,240296,116642,131965,139101,27023,14700,4338,558,567,17-17019-20210303
County,2021/03/04,17,IL,17019,Champaign County,50318,159371,921285,254264,237858,115996,133698,131835,27728,13887,4540,739,740,17-17019-20210304
County,2021/03/05,17,IL,17019,Champaign County,47719,161970,950692,267264,243294,118976,132387,138523,26379,15599,6625,1098,547,17-17019-20210305
County,2021/03/06,17,IL,17019,Champaign County,50044,159645,895618,251159,232427,107503,129367,130315,25334,13237,5000,666,610,17-17019-20210306
County,2021/03/07,17,IL,17019,Champaign County,53788,155901,818679,245621,194823,92289,118495,118580,24926,14562,7773,883,727,17-17019-20210307
County,2021/03/08,17,IL,17019,Champaign County,50538,159151,910200,261803,230828,108187,130156,136654,23387,12212,5358,651,964,17-17019-20210308
County,2021/03/09,17,IL,17019,Champaign County,50178,159511,977715,286663,248289,118578,137966,141651,25707,13303,4377,639,542,17-17019-20210309
County,2021/03/10,17,IL,17019,Champaign County,49981,159708,907008,254488,236060,109680,128993,133979,24651,12726,4618,1010,803,17-17019-20210310
County,2021/03/11,17,IL,17019,Champaign County,50339,159350,898304,248391,230642,110089,129204,133799,25920,13609,4976,945,729,17-17019-20210311
County,2021/03/12,17,IL,17019,Champaign County,47100,162589,919127,254700,229440,110343,129715,140489,27170,15695,8632,1951,992,17-17019-20210312
County,2021/03/13,17,IL,17019,Champaign County,48886,160803,879102,260144,211730,103047,125582,124016,29216,14784,7865,1475,1243,17-17019-20210313
County,2021/03/14,17,IL,17019,Champaign County,52280,157409,782540,219891,189949,88902,113782,113427,23947,17016,12169,1975,1482,17-17019-20210314
County,2021/03/15,17,IL,17019,Champaign County,53103,156586,829690,224034,212782,99440,116112,131786,24460,12743,5915,1288,1130,17-17019-20210315
County,2021/03/16,17,IL,17019,Champaign County,48380,161309,937533,257499,229618,120593,131501,142562,29701,17599,6400,1129,931,17-17019-20210316
County,2021/03/17,17,IL,17019,Champaign County,48418,161271,888653,240636,221270,110994,129877,136331,27245,14799,5427,1094,980,17-17019-20210317
County,2021/03/18,17,IL,17019,Champaign County,49205,160484,872945,235530,224580,107729,123646,129888,25559,16389,6847,1366,1411,17-17019-20210318
County,2021/03/19,17,IL,17019,Champaign County,45942,163747,935241,268326,234350,114032,131683,131434,27452,17209,8084,1411,1260,17-17019-20210319
County,2021/03/20,17,IL,17019,Champaign County,47703,161986,883081,256571,214301,106244,122573,125725,27985,18501,8633,1361,1187,17-17019-20210320
County,2021/03/21,17,IL,17019,Champaign County,48379,161310,814698,241986,203671,95218,114838,106983,24094,14526,10491,1874,1017,17-17019-20210321
County,2021/03/22,17,IL,17019,Champaign County,48068,161621,992938,286019,250765,119590,139549,147616,26782,14775,5785,974,1083,17-17019-20210322
County,2021/03/23,17,IL,17019,Champaign County,46748,162941,1008796,279703,260772,126556,143323,151325,28046,13501,4293,727,550,17-17019-20210323
County,2021/03/24,17,IL,17019,Champaign County,45369,164320,1035748,303354,260253,127462,149027,147412,27562,14390,5023,665,600,17-17019-20210324
County,2021/03/25,17,IL,17019,Champaign County,46329,163360,999514,282959,261266,125187,140130,144056,25150,14764,4626,721,655,17-17019-20210325
County,2021/03/26,17,IL,17019,Champaign County,46949,162740,955299,299613,199467,106538,141223,137571,30650,30069,9191,0,977,17-17019-20210326
County,2021/03/27,17,IL,17019,Champaign County,46686,163003,959889,280185,234534,114962,139300,134333,34268,15960,5480,488,379,17-17019-20210327
County,2021/03/28,17,IL,17019,Champaign County,50900,158789,825007,229588,207482,94944,122094,121291,23460,15780,8746,1039,583,17-17019-20210328
County,2021/03/29,17,IL,17019,Champaign County,50061,159628,951770,274937,239886,112067,134768,145285,25737,13091,4641,607,751,17-17019-20210329
County,2021/03/30,17,IL,17019,Champaign County,46916,162773,969928,270659,247901,119100,140400,144811,27268,14263,4308,580,638,17-17019-20210330
County,2021/03/31,17,IL,17019,Champaign County,46394,163295,1025119,293550,255627,128789,149210,154155,25413,12742,4363,551,719,17-17019-20210331
County,2021/04/01,17,IL,17019,Champaign County,47586,162103,976720,272539,253122,124122,136667,140379,25183,18011,4964,1094,639,17-17019-20210401
County,2021/04/02,17,IL,17019,Champaign County,42853,166836,996171,270636,247658,122643,144140,153217,29558,18070,8513,1166,570,17-17019-20210402
County,2021/04/03,17,IL,17019,Champaign County,45155,164534,943254,264211,232011,109726,140874,139303,30276,19302,6717,511,323,17-17019-20210403
County,2021/04/04,17,IL,17019,Champaign County,48376,161313,782301,223772,185194,83225,109448,113082,34510,22092,9786,720,472,17-17019-20210404
County,2021/04/05,17,IL,17019,Champaign County,46587,163102,1017044,297294,247559,121197,143485,151649,29967,17553,6845,856,639,17-17019-20210405
County,2021/04/06,17,IL,17019,Champaign County,45787,163902,1004404,305501,258998,121173,137538,136657,24870,13920,4832,462,453,17-17019-20210406
County,2021/04/07,17,IL,17019,Champaign County,44776,164913,1042961,298999,271058,121159,152790,151054,29330,13139,4377,480,575,17-17019-20210407
County,2021/04/08,17,IL,17019,Champaign County,45404,164285,991499,275028,258502,122816,138292,145934,28122,16736,4796,680,593,17-17019-20210408
County,2021/04/09,17,IL,17019,Champaign County,41872,167817,1088974,313978,277352,123589,157206,163768,29856,15754,5963,885,623,17-17019-20210409
County,2021/04/10,17,IL,17019,Champaign County,46014,163675,929118,253875,231464,113688,133385,142057,28502,17816,6818,776,737,17-17019-20210410
County,2021/04/11,17,IL,17019,Champaign County,52262,157427,775506,208877,191688,90131,116352,121474,22433,15588,7151,1138,674,17-17019-20210411
County,2021/04/12,17,IL,17019,Champaign County,48288,161401,1040790,304565,260431,123905,148278,156051,29045,12805,4193,539,978,17-17019-20210412
County,2021/04/13,17,IL,17019,Champaign County,46196,163493,1060129,302107,275746,130512,148513,151187,31248,15341,4317,559,599,17-17019-20210413
County,2021/04/14,17,IL,17019,Champaign County,48066,161623,1061704,297875,274501,128893,154276,158989,28819,12783,4098,580,890,17-17019-20210414
County,2021/04/15,17,IL,17019,Champaign County,47664,162025,1073095,312038,277160,129493,149853,154338,28709,15333,4687,834,650,17-17019-20210415
County,2021/04/16,17,IL,17019,Champaign County,44150,165539,1160257,338880,296573,136763,163352,168762,31441,16164,6591,1084,647,17-17019-20210416
County,2021/04/17,17,IL,17019,Champaign County,46374,163315,976899,292620,232776,111539,140763,141057,28830,19424,8544,625,721,17-17019-20210417
County,2021/04/18,17,IL,17019,Champaign County,49674,160015,855075,253016,206168,95037,119416,124252,29073,17345,8813,1310,645,17-17019-20210418
County,2021/04/19,17,IL,17019,Champaign County,48331,161358,1040153,309377,256318,124917,146872,153955,28459,14101,4724,712,718,17-17019-20210419
County,2021/04/20,17,IL,17019,Champaign County,49281,160408,947949,261600,250892,121528,133080,138146,24974,12662,4116,567,384,17-17019-20210420
County,2021/04/21,17,IL,17019,Champaign County,46842,162847,953990,242633,250410,122508,147003,149340,26162,10676,4071,485,702,17-17019-20210421
County,2021/04/22,17,IL,17019,Champaign County,42137,167552,901333,239282,251832,114339,134874,117441,26387,11238,4856,436,648,17-17019-20210422
County,2021/04/23,17,IL,17019,Champaign County,40056,169633,913126,257633,241804,114214,126528,121560,28794,14014,7391,581,607,17-17019-20210423
County,2021/04/24,17,IL,17019,Champaign County,41758,167931,786671,197195,209627,100298,121056,108358,27216,14877,6854,435,755,17-17019-20210424
County,2021/04/25,17,IL,17019,Champaign County,44407,165282,723264,199287,188771,88168,108774,87833,26278,14858,7676,873,746,17-17019-20210425
County,2021/04/26,17,IL,17019,Champaign County,41897,167792,883248,251165,249755,113137,115414,110920,26911,10639,4203,372,732,17-17019-20210426
County,2021/04/27,17,IL,17019,Champaign County,42415,167274,876363,247979,248672,106793,120930,110131,24046,12201,4509,472,630,17-17019-20210427
County,2021/04/28,17,IL,17019,Champaign County,41514,168175,908281,253322,242153,115802,131353,122690,26420,11006,4434,551,550,17-17019-20210428
County,2021/04/29,17,IL,17019,Champaign County,41604,168085,934130,261939,261941,119560,132396,115580,23974,12361,5235,540,604,17-17019-20210429
County,2021/04/30,17,IL,17019,Champaign County,40939,168750,904571,243872,245975,115585,131601,115478,30021,14107,6616,651,665,17-17019-20210430
County,2021/05/01,17,IL,17019,Champaign County,42170,167519,799547,203914,213237,99328,121535,104207,30870,17501,7766,563,626,17-17019-20210501
